Wortlaenge,Iterativ,Rekursiv
1, 14407300, 1747700
2, 23263100, 840400
3, 14212700, 788100
4, 6680300, 797500
5, 2366300, 787800
6, 2307600, 816500
7, 11678900, 823600
8, 2349700, 31184300
9, 2134500, 851300
10, 2177600, 735800
11, 3431200, 2743300
12, 1085300, 791100
13, 1184400, 775400
14, 900900, 783100
15, 850100, 756500
16, 1064800, 1052800
17, 1176200, 879500
18, 1241300, 995800
19, 213840200, 5992200
20, 6080500, 1001400
21, 6303700, 1290200
22, 6218400, 1143800
23, 6409800, 916900
24, 104001200, 1022800
25, 6131400, 806600
26, 6355800, 780200
27, 6100600, 833100
28, 8715800, 782300
29, 74563400, 822800
30, 6262500, 748600
31, 6053500, 3458500
32, 7721000, 774600
33, 10433100, 759800
34, 34614000, 719600
35, 6445600, 758100
36, 5838100, 752000
37, 7764800, 1065600
38, 11556400, 818600
39, 6355600, 748100
40, 24367900, 724600
41, 928500, 814600
42, 931000, 690800
43, 1384500, 762500
44, 942900, 749200
45, 902700, 699200
46, 938100, 757300
47, 951300, 14305100
48, 918600, 804900
49, 872600, 735700
50, 906600, 905300
51, 880700, 1147100
52, 877600, 848800
53, 894800, 869100
54, 886000, 759800
55, 873900, 877000
56, 2183600, 1027800
57, 881000, 864700
58, 925500, 941900
59, 2664400, 1073700
60, 862300, 1216900
61, 939500, 884900
62, 908700, 901000
63, 1182300, 5553700
64, 1113500, 1153100
65, 1106100, 540500
66, 6280300, 1320800
67, 1111400, 880700
68, 1478900, 551000
69, 1135600, 541400
70, 1292100, 514700
71, 1109300, 1012800
72, 955100, 1100000
73, 34574600, 1628500
74, 823900, 1282400
75, 1088500, 853600
76, 861900, 467300
77, 855300, 609900
78, 812500, 508700
79, 778600, 589400
80, 849000, 637500
81, 789000, 576900
82, 857900, 624900
83, 2764700, 583800
84, 756800, 616400
85, 721300, 590900
86, 824800, 569700
87, 791200, 18187500
88, 1158300, 509000
89, 915300, 478800
90, 892100, 507800
91, 1515800, 460000
92, 4603100, 452300
93, 1031100, 464300
94, 1295700, 2065300
95, 865100, 509300
96, 1097900, 454700
97, 906600, 493400
98, 904500, 474400
99, 826000, 519300
100, 774600, 498600
